docId,query_id,label
doc_39021,1,1
doc_47818,1,1
doc_710,1,0
doc_26131,1,1
doc_12911,1,1
doc_176,1,0
doc_1975,1,0
doc_47565,1,1
doc_405,1,0
doc_43729,1,1
doc_44952,1,1
doc_923,1,0
doc_9704,1,0
doc_26210,1,1
doc_31678,1,1
doc_2746,1,1
doc_776,1,0
doc_133,1,0
doc_25499,1,1
doc_5361,1,0
doc_43080,1,1
doc_460,1,0
doc_6575,1,0
doc_7437,1,0
doc_26131,1,1
doc_4138,1,0
doc_31544,1,1
doc_9093,1,0
doc_25231,1,1
doc_4830,1,0
doc_48389,2,1
doc_6967,2,0
doc_47639,2,1
doc_3595,2,0
doc_5213,2,0
doc_1314,2,1
doc_516,2,0
doc_23359,2,1
doc_47335,2,1
doc_7221,2,0
doc_44554,2,1
doc_8456,2,0
doc_28672,2,1
doc_2034,2,0
doc_5959,2,0
doc_3027,2,0
doc_5939,2,0
doc_8240,2,0
doc_146,2,0
doc_41111,2,1
doc_2069,2,0
doc_8315,2,0
doc_7369,2,0
doc_968,2,0
doc_18282,2,1
doc_5855,2,0
doc_25009,2,1
doc_9597,2,0
doc_28672,2,1
doc_4084,2,0
doc_14,3,1
doc_5064,3,0
doc_1311,3,1
doc_2251,3,0
doc_5027,3,0
doc_4443,3,1
doc_2567,3,0
doc_34924,3,1
doc_8390,3,1
doc_8703,3,0
doc_10275,3,1
doc_2267,3,0
doc_10217,3,1
doc_7703,3,0
doc_8049,3,1
doc_537,3,0
doc_3693,3,1
doc_19518,3,1
doc_3169,3,0
doc_7972,3,1
doc_3525,3,0
doc_11657,3,1
doc_26322,3,1
doc_8914,3,0
doc_46402,3,1
doc_1721,3,0
doc_4196,3,0
doc_1033,3,0
doc_10327,3,1
doc_7333,3,0
doc_8162,4,0
doc_9852,4,0
doc_41872,4,1
doc_196,4,0
doc_2861,4,0
doc_5332,4,1
doc_4563,4,0
doc_400,4,0
doc_23037,4,1
doc_8111,4,0
doc_37212,4,1
doc_7229,4,0
doc_7237,4,1
doc_2122,4,0
doc_4313,4,0
doc_9277,4,0
doc_45269,4,1
doc_45442,4,1
doc_2734,4,0
doc_9367,4,0
doc_2175,4,0
doc_6542,4,1
doc_31660,4,1
doc_1016,4,0
doc_2034,4,0
doc_1596,4,0
doc_9771,4,0
doc_5070,4,0
doc_40121,4,1
doc_2472,4,0
doc_4712,5,0
doc_30422,5,1
doc_48165,5,1
doc_48093,5,1
doc_48084,5,1
doc_4191,5,0
doc_3340,5,0
doc_37209,5,1
doc_928,5,0
doc_7710,5,1
doc_14153,5,1
doc_1726,5,0
doc_9935,5,0
doc_38105,5,1
doc_37090,5,1
doc_6171,5,0
doc_44428,5,1
doc_1968,5,0
doc_48027,5,1
doc_7409,5,0
doc_47845,5,1
doc_5921,5,0
doc_47837,5,1
doc_7607,5,0
doc_7086,5,1
doc_6829,5,0
doc_21486,5,1
doc_5341,5,0
doc_5069,5,0
doc_2104,5,0
